rank,store_id,store_name,website,status,primary_category
171,city_baghdad_ChIJMRoZLH6BVxURGqpPthbBEgA,شركة عين بغداد كاميرات مراقبة,http://www.einbaghdad.com/,indexable,Cameras
172,city_sulaymaniyah_ChIJYRr6xIIuAEARw3TjFsA4M-Q,شركة فرياد,http://www.pfryad.weebly.com/,indexable,Electronics
173,city_kirkuk_ChIJ4Rqdw4ApVRURr2xSY46nPYw,شركة محمد للالكترونيات,https://itechkurd.net/,indexable,Electronics
174,city_karbala_ChIJ8xv5ZQBrWRURy9t727V-jwI,شركة ميامين العالم للتجارة العامة ((المستودع الرئيسي )),http://mayamen-world.com/,indexable,Electronics
175,city_basra_ChIJkxfZBeiZxD8RGJ0-_SpjoYA,شركة نسيم البصرة للاجهزة المنزلية,http://naseemalbasraa.com/,indexable,Electronics
176,city_sulaymaniyah_ChIJBecbpiAsAEARbMuJdUAd15A,فندق رمادا,https://www.ramadasulaymaniyah-salimstreet.com/,indexable,PC Parts
177,city_karbala_ChIJNcrDYvJrWRURiyfnGfTlOlo,فيض حسيني - كربلاء,http://www.fayzehusayni.com/,indexable,Networking
178,city_kirkuk_ChIJ642WkALXVBURPWVl-JwHpKI,قرطاسية الاخوين 2,https://the2bros.org/,indexable,Gaming
179,city_basra_ChIJR6IVN-qhxD8Rnv59K7uOTno,قسم هندسة الحاسبات,https://eng.uobasrah.edu.iq/computer-engineering-department,indexable,Electronics
180,city_erbil_ChIJf7JSRFQiB0ARrIie9e0A4bk,قەڵای هەولێر,https://www.hawlergov.org/app/en/node/539,indexable,Accessories
181,city_baqubah_ChIJff3-WVhLVhURKKIOk3FIn7M,كلية التربية الاساسية,http://www.basicedu.uodiyala.edu.iq/,indexable,PC Parts
182,city_kirkuk_ChIJNdDnVHXZVBURGx2UTRCrQDY,كلية التربية للعلوم الإنسانية,http://uokirkuk.edu.iq/education/,indexable,PC Parts
183,city_najaf_ChIJg2HO15TVXhURH8I_pQJJyJA,كوزمتك ناز,https://saltk.app/nazcosm,indexable,Electronics
184,city_basra_ChIJvRQYQhuZxD8RALFBP07LHoY,ليث للحاسبات,http://www.lcc-iq.shop/,indexable,Electronics
185,city_baghdad_ChIJ2Sp-QB2DVxUR_EmcJilojmM,مجموعة الافراح Al-Afrah Group,https://www.alafrah.iq/,indexable,Electronics
186,city_karbala_ChIJgz-PId1rWRUR-7qteJWDUlg,مجموعة الليث,http://www.laithgroup.com/,indexable,Electronics
187,city_basra_ChIJ2aKBNPqZxD8RU2GNDfIds_k,مجموعة الليث لتقنيات وتجارة الحاسبات Al Laith Group For Computer Techniques Trd Co.,http://www.al-laith.com/,indexable,Electronics
188,city_baghdad_ChIJ70LysMWDVxUR9bZJI8Du9G4,مركز الفرسان للهواتف النقاله,https://fursanmobile.iq/,indexable,Phones
189,city_basra_ChIJSfqkC8KZxD8RZhgeX7pv71s,مركز النور لكاميرات المراقبه في البصرة,https://alnoor-basra.my.canva.site/,indexable,Electronics
190,city_erbil_ChIJu6qiDI8jB0AR-mxGa4uxx9c,مركز الوسام الهندسي شركة لمعان الوسام لمعدات صيانة السيارات autel,http://www.lamaanalwissam.com/,indexable,Electronics
191,city_baghdad_ChIJ2dGkomB-VxURtgG6dN5lqTY,مركز تليفوني,https://www.telephony-store.com/,indexable,Phones
192,city_baghdad_ChIJ2UAJ9DJ9VxURgNRl9GEnv5g,مركز علي وليد للموبايل,http://www.aliwaleed.com/,indexable,Electronics
