rank,store_id,store_name,website,status,area,primary_category,products
116,city_erbil_ChIJQfRQaoAjB0ARR0dWUKzeztE,R khoshnaw,https://dolikhoshnawati.com/,indexable,,Electronics,0
117,city_erbil_ChIJK6KuAOojB0ARdM6_Ev3qjRk,Reflections Smart Technologies,https://www.rst-tech.me/,indexable,,Smart Devices,0
118,city_erbil_ChIJA7NqmtYfB0AR1r6nhBJfEHA,SMART SUPPLY GENERAL TRADING,http://www.smartsupplyco.com/,indexable,,Smart Devices,0
119,city_erbil_ChIJ0ybJpRcfB0ARmvJ9vh8Vpus,SOD- Sky of Development LLC.,https://www.sodiraq.com/,indexable,,Smart Devices,0
120,city_baghdad_ChIJZR5mx4SBVxURawr3YkF9sWg,Smart AE Co.,http://www.smartae.ae/,indexable,,Smart Devices,0
121,city_sulaymaniyah_ChIJx8y8pSctAEARC21xaqn4mZY,Smart Station Company,https://www.smartstation.krd/,indexable,,Smart Devices,0
122,city_sulaymaniyah_ChIJ3eMQ4DotAEARHhzMgKSnZto,Smart Trader,http://www.smarttraderiraq.com/,indexable,,Smart Devices,0
123,city_baghdad_ChIJXUP8PwB_VxURB8lIciu4A2U,Smart Wave Technology,http://www.swt-iq.com/,indexable,,Smart Devices,0
124,city_baghdad_ChIJm8mDnaGBVxURyIZTsdMi-Mo,Smart Way Iraq,http://www.smartwayiq.com/,indexable,,Smart Devices,0
125,city_erbil_ChIJ85YURMEjB0ARXTPKJKmEjBQ,Smart lifts Company,http://www.smartliftiraq.com/,indexable,,Smart Devices,0
126,city_sulaymaniyah_ChIJ0ZAESAAvAEARphrbckqXm28,SmartHand,https://smarthand.co/,indexable,,Smart Devices,0
127,city_sulaymaniyah_ChIJl2sHP3gtAEAR3jerm5Kj1qE,Tech Mart,https://techmart.krd/,indexable,,Gaming,0
128,city_sulaymaniyah_ChIJqVnsGlctAEARby4VVxFYWPg,TopIT Company (Hikvision),http://www.topitcompany.io/,indexable,,Cameras,0
129,city_kirkuk_ChIJVZ5xZwDXVBURKixL2SNgZ0w,U smart,https://usmart-iot.com/,indexable,,Smart Devices,0
130,city_karbala_ChIJbUHUAF1pWRURK299KqGPde4,VLAN Store - فيلان ستور,http://www.vlan.store/,indexable,,Electronics,0
131,city_baghdad_ChIJWXawoe1_VxURErLycQhQr1w,VOLT Smart Home And Security 1,http://volt-smart.com/,indexable,,Smart Devices,0
132,city_sulaymaniyah_ChIJz__W6k4tAEARwU2J3Ry9Ivg,Vida Smart Home,https://www.vidasmarthome.net/,indexable,,Smart Devices,0
133,city_sulaymaniyah_ChIJURZiXQAvAEAR_vrbRaKVajU,Volta Game Center,http://voltacenter.net/,indexable,,Gaming,0
134,city_erbil_ChIJMz1Sig8ZB0ARukVAv0GGY1g,Wasil | واصل,http://www.wasil-iq.com/,indexable,,Chargers,0
135,city_sulaymaniyah_ChIJd-HfUwAvAEARk8fLLWCfaKM,Wise Tech Company,https://www.wisetechnology.co/,indexable,,Electronics,0
136,city_sulaymaniyah_ChIJjdsQDlItAEARUIG0_PVl5lE,iNexusNet System Integrator,http://nexusnet.co/,indexable,,Electronics,0
137,city_erbil_ChIJgUGXO3wjB0ARBnyQu8QmfQA,joni soft,http://www.kurdishfirmware.com/,indexable,,Phones,0
